No,Nama,SINTA ID,Rank National,Rank Affiliation,Sinta Score,Scopus,Scholar
0,Rarastoeti Pratiwi,257321,2679,299,7.66,8,91
1,Yekti Asih Purwestri,21472,969,116,15.39,6,34
2,Tri Rini Nuringtyas,21396,5191,510,3.92,7,36
3,Woro Anindito Sri Tunjung,6021239,4374,453,4.73,8,38
4,Lisna Hidayati,6002859,28108,1341,0.15,1,6
5,Endang Semiarti,5973460,121,10,47.51,24,164
6,Ari Indrianto,6142358,62080,1853,0.0,0,0
7,Eko Agus Suyono,42920,3377,367,6.2,17,50
8,Aries Bagus Sasongko,6017558,38514,1527,0.04,0,8
9,Matin Nuhamunada,6014421,11045,848,1.37,3,5
10,Suwarno Hadisusanto,6017929,5575,542,3.61,8,130
11,Tjut Sugandawaty Djohan,6015983,5045,503,4.04,3,124
12,Retno Peni Sancayaningsih,6004198,8543,719,2.04,6,103
13,Andhika Puspito Nugroho,5976983,5712,549,3.51,6,17
14,Siti Nurleily Marliana,42922,16015,1021,0.7,2,7
15,Mukhlish Jamal Musa Holle,6014471,86743,2073,0.0,0,2
16,Niken Satuti Nur Handayani,5973470,6392,590,3.05,8,81
17,Budi Setiadi Daryono,21420,1153,136,13.59,32,296
18,Tuty Arisuryanti,43298,23945,1236,0.25,1,23
19,Ganies Riza Aristya,5973150,72916,1971,0.0,0,3
20,Indra Lesmana,6023357,22836,1206,0.29,2,3
21,Agnes Endang Sutariningsih S,6020054,12923,918,1.05,2,49
22,Endah Retnaningrum,42921,12336,895,1.16,4,38
23,Miftahul Ilmi,258133,8795,732,1.96,4,7
24,Sari Darmasiwi,6014589,17916,1072,0.54,2,8
25,Abdul Rahman Siregar,5976797,49010,1690,0.01,0,4
26,Arief Muammar,6017987,62218,1856,0.0,0,5
27,Purnomo,257625,91490,2109,0.0,0,0
28,Rina Sri Kasiamdari,6003781,4709,481,4.37,6,78
29,Heri Sujadmiko,6017931,75062,1984,0.0,0,21
30,Ratna Susandarini,5991537,7532,657,2.44,5,24
31,Ludmilla Fitri Untari,5986653,31830,1413,0.09,0,10
32,Abdul Razaq Chasani,6014438,57792,1799,0.0,0,3
33,Laurentius Hartanto Nugroho,5977709,1332,159,12.26,16,72
34,Suharyanto,6017954,24705,1263,0.22,0,18
35,Maryani,6016534,2719,304,7.57,4,13
36,Sutikno,6038294,56051,1774,0.01,0,2
37,Siti Susanti,6038161,55606,1766,0.01,0,2
38,Sudjino,6017962,7472,653,2.47,0,97
39,Diah Rachmawati,6014449,3530,382,5.93,7,58
40,Kumala Dewi,5976559,4464,460,4.64,12,91
41,Dwi Umi Siswanti,6000546,45161,1642,0.02,0,9
42,Tri Joko,21491,5348,525,3.8,5,44
43,Bambang Agus Suripto,6043922,9014,746,1.89,2,35
44,Rury Eprilurahman,6000808,7595,664,2.41,5,41
45,Ratih Aryasari,6006315,33434,1440,0.08,0,2
46,Donan Satria Yudha,5981593,12407,898,1.14,3,19
47,Rr Upiek Ngesti Wibawaning A,6014643,22761,1205,0.29,1,18
48,Soenarwan Hery Poerwanto,6014439,17471,1058,0.57,2,46
49,Dila Hening Windyaraini,6014567,67469,1919,0.0,0,2
50,Johanes Sugiyanto,6014525,28477,1348,0.14,0,17
51,Ardaning Nuriliani,6037774,49689,1697,0.01,0,26
52,Susilohadi,6015704,5044,502,4.04,4,8
53,Zuliyati Rohmah,5988050,8831,735,1.95,4,27
54,Bambang Retnoaji,30059,4537,470,4.55,9,44
55,Hendry TSSG Saragih,258288,6485,600,2.99,6,17
56,Luthfi Nurhidayat,5973466,17903,1070,0.54,2,8
57,Mulyati,6025299,36085,1485,0.06,0,39
58,Slamet Widiyanto,5973465,48053,1679,0.02,0,18
59,Laksmindra Fitria,5976833,27734,1336,0.15,0,34
60,Nastiti Wijayanti,5972899,400,50,26.54,20,79
61,Rahadian Yudo Hartantyo,5976774,92120,2115,0,0,1
62,Fajar Sofyantoro,6073146,71289,1951,0,0,1
63,R C Hidayat Soesilohadi,6014250,21851,1179,0.33,0,39
64,Siti Sumarmi,6015468,48031,1678,0.02,0,19
65,Hari Purwanto,6015559,28718,1354,0.14,0,7
66,Sukirno,43311,8585,723,2.03,5,5
67,Ignatius Sudaryadi,5976838,76918,2002,0,0,0
